target,initiator,asset,amount,premium,referralCode,blockNumber,txHash
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x80C899CaF8C6581084237B9cC349bd0488ef7173,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3142542170066900700,2828287953060210,0,14179294,0x969bf477cf959215a8a4febf8ff16d72e26d134673d1084cb1380e372caefba3
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x8db63f56502B8596bc2E56939c1710034E5883E6,0xdAC17F958D2ee523a2206206994597C13D831ec7,39000000000,35100000,0,14180117,0xad3b917f7fa805bfacf7f41ce13feadcebde3ecaf10ddf80b290d9036ed7bad4
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xc09d86f59d25E24DF5D6168fE11bE9145D9aF709,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,29998125198034263365,26998312678230837,64,14180141,0xfb8dee2f077b5db05f24f6a2fffb347fb9397ec9e8a2fd48d79d8f0b3dc6cc73
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x25e0a198721d839AE947A9030E4593f52536CB56,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,31114231215,28002808,0,14180310,0x5837fa98eca1d34c9f5a3036ea90d336d9ea165346736c8e1fca00cf67138631
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xc09d86f59d25E24DF5D6168fE11bE9145D9aF709,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,37277317437327655466,33549585693594889,64,14180771,0xbbe194e9dc2a6784bf3707641850a2f7c521bb2097f1a37933e3ea57d3ee5c49
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xc09d86f59d25E24DF5D6168fE11bE9145D9aF709,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,32734391795091262206,29460952615582135,64,14181462,0x4876e182b3bde47798077c27da8da3758092fd4eb25c766e81d14113cdf55ae1
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xeA925bC8EbddCA6Cf6968DEC567D88c71582D168,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,39189571481838328874,35270614333654495,64,14181509,0xb229af5bda3dd8db011db64b9871ad60f941ed8297dbebf0e8309dcb1f86fda2
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0x8eD13F999f6d09507EF4e595B0ffa237C8bCfDF2,0x514910771AF9Ca656af840dff83E8264EcF986CA,1200904713287770706799,1080814241958993636,64,14181566,0x9fcbe8d8d9fafcefaa0cb9e37f9432713326c4ed9f976c43063c664e6fa455e9
0x498E84899558545a0f6d4036BdB3a3842Cf9b6D0,0x498E84899558545a0f6d4036BdB3a3842Cf9b6D0,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,722765741317,650489167,0,14181704,0xa9a8211d37f7d94b0ac49cb09a1a5e22270d1de427efd6f8fd0e5d31bd795b2d
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xdaF1d52c355C3729f92B9567F8b7a4C6372851e4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,12006000840445887000,10805400756401298,0,14181757,0x59b797e5f903598db941cef02e7768ab56c5c24b6958bc67dca34a63c56f03ed
0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0x6B175474E89094C44Da98b954EedeAC495271d0F,500000000000000000000,450000000000000000,56,14181825,0xa8da03b4c4913cf4fef8ecbd299d3d0349bcb9b5911229e797037c753f588dce
0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0x6B175474E89094C44Da98b954EedeAC495271d0F,1000000000000000000000,900000000000000000,56,14181836,0x2dab631d96633ddc2706a8568d58625597a35c46b1a8c6665bd4a224740a4b59
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x8db63f56502B8596bc2E56939c1710034E5883E6,0xdAC17F958D2ee523a2206206994597C13D831ec7,50000000000,45000000,0,14182022,0x4019e7502c1764885d8ca2458ca4e320fc548944b56582ae0b7d662da9342b4c
0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0x59dAa74f2D15c87Aac435eC18Cb559f92490C100,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,150000000000000000,135000000000000,56,14182626,0xb0b028ced383c1c46d9088ae4c8de2ea067116af0882c75589e3553b015caf9b
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x60a27897cDc28e9B203538AdA40Cc0Ffc5b06b29,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4339323209,3905390,0,14183309,0x81380c879c89ba30607e0a068246f44b2cf2f5ed52309a40b9526f8d29d0f71c
0xd7663De542f62fa94EF7205e22e6CE7284DcC554,0xd7663De542f62fa94EF7205e22e6CE7284DcC554,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,763483917455250032,687135525709725,0,14184181,0xd443e4436a6a21935a90419419bd82a048c041156fe6ed419753506abbc2efcd
0x46AafdBC76a8b412909985d0A2C51073fF33c02E,0x46AafdBC76a8b412909985d0A2C51073fF33c02E,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,2623000000000000000000,2360700000000000000,64,14184457,0x7603bec790a0148cfe678a106ea161545900f5ae02f756f3a7834949504948bb
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x808af82545A721C06D1FcCEbea915a6F5128BeF9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,15819785420,14237806,0,14184997,0xed6362e1bfe46b391c22e1394e74eb60c6481871a425a81efe8c068106fc7a00
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x7DF62338E6F0438bC7F29B141c349930dFA15Af9,0xdAC17F958D2ee523a2206206994597C13D831ec7,145000000000,130500000,0,14185087,0x3378c2114776baddb966b673b526e89bcfb06d398eff1ee9b91ef02bdd04386f
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xf62D4E8d6775a9FA68e36E0Ab466E450b0e6f8Ff,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,150190228015298220,135171205213768,0,14185292,0xe015caf219eadd9f763a6144124cda83a8c8ed3343e0f8618c1c2605a94bb5f3
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x7180e344f5596171b1A0f0bFfD42e389300A4822,0xdAC17F958D2ee523a2206206994597C13D831ec7,24872003324,22384802,0,14186087,0xdba41780c045547fa294dc0ff2d425027b0b620fd0487e7c6c1ef69b6481e47c
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xEa92AFFEEF270a0D9A51B5172a5948C3eB7C1ED8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,40000000000,36000000,0,14186399,0x90a85063ab454436d63d4fa25c138fd4e1595662fa3f4145b95672b5b880ecdd
0xd234Ca832EFBd43819dCc96e25D0586D4e5D976F,0x78C94b6510fe5d2034c024e981fE5454A5c1e2d6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2750000000000000000,2475000000000000,0,14186482,0x533d7e358bd2c559ec3b9e40fcc5f82ea702743245ad88350c45c0e1fb3cdab9
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xc09d86f59d25E24DF5D6168fE11bE9145D9aF709,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,36176865036900050694,32559178533210045,64,14186482,0x4bcd4fda4c5d53edaaf08fc63fd19403c829a09bbb6608091b7a8380a03522fc
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0x7b9E4a07746e197b947a0348c44Bd4037dDc5dE3,0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b,104911341316643673478,94420207184979306,64,14186482,0xcc8630808f511b1b6ed4bf44df5c4d82bbca5b98fdb2ff18ba6ddb80190c8536
0x135896DE8421be2ec868E0b811006171D9df802A,0x77c43b2E3768673470390Ad9Ca7200969dc2332E,0x514910771AF9Ca656af840dff83E8264EcF986CA,747367908334841400000,672631117501357260,0,14186573,0x1060cd998d84a37d4cad50719b4f1a316500001ee95ec836974e4dea92fe9937
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xc09d86f59d25E24DF5D6168fE11bE9145D9aF709,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,32809157819986054430,29528242037987448,64,14186709,0x6d9eea144f6b103c504f53105ced8a538b86af871d55a5fa46939d3f15bfd0c9
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xEa92AFFEEF270a0D9A51B5172a5948C3eB7C1ED8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,40000000000,36000000,0,14186776,0x02c4c91bd0d2fe58ae6e6da7dc9ef48018ee432f4795ae2d156facdd2ac2b7b0
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xB5E0cEfA0e723007AbAAE2035B44dA49c06DB52d,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,2190139741163396036001,1971125767047056432,64,14186849,0x228652e75b18eb7e999074baf82e3055870f707f1bd7615b270c9e9e6f4e6188
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0x5fF910c34Db2Ae9Eeee29cf6902197CBC7B6812D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,59161710112800101533,53245539101520091,64,14186935,0xe2da185cb3cfb632c1cbcb4350fe793354e1e289dca0ee85a4c1054d227a6187
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0x34b0F030fc16c9558280af945247d909BEca653e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,13088594435226083162,11779734991703474,64,14186953,0xdba3634728a67937636001aa56d8afcfd61abe389b92d326e330218f08bf21af
0x689209519e78947d52b862748E059fAd1238D689,0x689209519e78947d52b862748E059fAd1238D689,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,9122021558,8209819,0,14187054,0x4ee68ec75f37ad3b0407303932a65f76ef91c9650facc23fdbc7a605fe14e206
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xf37680F16B92747eE8537A7e2CCb0E51A7C52A64,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,20000000000,18000000,0,14187335,0xb8fca0ae67ec26cfd6583c7455a78915899655a5dad86b88461ce35fac7be7a4
0x135896DE8421be2ec868E0b811006171D9df802A,0x1Bd967D0BfddC2B5752336bf391BE1030087FFd3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18093923451351575000,16284531106216417,0,14187572,0xe251148be16fd097d375727986e6aa0932e2631023501cba28074670fa13f30c
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x2Fe09e93aCbB8B0dA86C394335b8A92d3f5E273e,0xdAC17F958D2ee523a2206206994597C13D831ec7,148000000000,133200000,0,14187645,0xcd096f37151c857615ce186aa48f8c0ac4f680780eb8b9d339de2447bdfe53a3
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xC78354920535B5de6E013B074443554029E4BcfA,0x6B175474E89094C44Da98b954EedeAC495271d0F,25393897314632814000000,22854507583169532600,0,14187701,0xb5fbe4e89fc66f6a6cf16b1fb94b48327cd0e618a859ecef00fcdfb1855b889c
0x8adE2816339700fde684e11c4c578123B3A8f765,0x8adE2816339700fde684e11c4c578123B3A8f765,0xdAC17F958D2ee523a2206206994597C13D831ec7,2503436023,2253092,0,14187704,0xf034074f2afcaea8c04be9edfe5934e55124ae107682aaaef450a62f5c6e3464
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x780cF8B80db6554915eA3F48a9d9Cf15606c6dCA,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,19475391131,17527852,0,14188002,0xdc9cc9f8ed5b4aa63dacdff9ab259a5b797db6ccd814aa154a716dc2984c76ca
0x135896DE8421be2ec868E0b811006171D9df802A,0x73c268009a1B4033575f17B3ed90a0A10a32F808,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10805425565676513000,9724883009108861,0,14188032,0xdce58811278832d18ea501b4ffcf3542a9468d2ed059a4d52edd95def7021c8b
0x135896DE8421be2ec868E0b811006171D9df802A,0x23b4483b7C551EfA8955c7e35f8A5e38C6f1fE4A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,50000000000000000000,45000000000000000,0,14188327,0xee844ba0a6f6e79153c2996ab39837ea94740107b9c1858232e2a57396eddd35
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x8db63f56502B8596bc2E56939c1710034E5883E6,0xdAC17F958D2ee523a2206206994597C13D831ec7,39000000000,35100000,0,14188339,0x61cd28802b77021bfd1a003a6e96d845c7f2989a67fb8fd22af1fec3c8bbf46e
0x8adE2816339700fde684e11c4c578123B3A8f765,0x8adE2816339700fde684e11c4c578123B3A8f765,0x6B175474E89094C44Da98b954EedeAC495271d0F,2348157523045593454070,2113341770741034108,0,14188351,0xbf93c7da2fd43723d1253e51561d6c8c7f9795c55b58284c5fd90246bc661c97
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xD8C22132684460E9d4cBE5d4d53ed79DB2eE936C,0x514910771AF9Ca656af840dff83E8264EcF986CA,2000000000000000000000,1800000000000000000,0,14188636,0x98136f222320c25ce612c6daf0e82f7d712f49ff6484bcf63e40080651b4d70a
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0xd2C92b898d4c484208955caF3afeCDDEA67bd838,0xdAC17F958D2ee523a2206206994597C13D831ec7,1209532722,1088579,0,14189424,0xab6c5a140d8bc19c7ab05276e5a5c7fbc5e52c001b99b4f70e6bbcd0e08f0c51
0x135896DE8421be2ec868E0b811006171D9df802A,0xeE8A49Cc192209726ca1F113e0766fAb39960Ed4,0x514910771AF9Ca656af840dff83E8264EcF986CA,2049527998954098600000,1844575199058688740,0,14189642,0x7ff28d0fe3dcf00ca11e70fc4fbe444a8e4c4b3fe89a0ef986b728afba03d47c
0x8adE2816339700fde684e11c4c578123B3A8f765,0x8adE2816339700fde684e11c4c578123B3A8f765,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1666358476,1499722,0,14189825,0xf20b538e3dc410050f67532f719821b0f473763e2917993b42fc4f1eb570623e
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x8db63f56502B8596bc2E56939c1710034E5883E6,0xdAC17F958D2ee523a2206206994597C13D831ec7,37000000000,33300000,0,14189960,0x3023b2f7e923ba23a54d0bfd24a3b2fa80d701ac0ec585dd54229302852f8468
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x2Fe09e93aCbB8B0dA86C394335b8A92d3f5E273e,0xdAC17F958D2ee523a2206206994597C13D831ec7,145000000000,130500000,0,14190013,0x94304553055748e35699769509aa7de1340a65a044417abd6cda4d29e439f5f3
0x498c5431EB517101582988fBb36431DdaaC8F4B1,0x3e76E7f7A78104F6C88FFe6b10b0850763212Ec9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1796324601574756500,1616692141417280,0,14190214,0x29abac74c30a442227ec7746419957e44109412cc67bb1452d4ed0838ad3bc0d
